stemId,species,DBH,stemType,logNum,assort,diamToUb,length
104689,1,151,2,1,9,114,625
104689,1,151,2,2,7,98,545
104691,1,309,1,1,1,0,0
104691,1,309,1,2,9,332,14
104691,1,309,1,3,4,243,611
104691,1,309,1,4,9,236,140
104691,1,309,1,5,4,211,371
104691,1,309,1,6,9,207,156
104691,1,309,1,7,9,160,594
104691,1,309,1,8,9,118,601
104691,1,309,1,9,9,65,545
104690,1,138,2,1,7,119,560
104693,1,411,1,1,9,431,23
104693,1,411,1,2,4,362,610
104693,1,411,1,3,4,321,611
104693,1,411,1,4,4,283,611
104693,1,411,1,5,4,227,492
104692,1,418,1,1,9,440,12
104692,1,418,1,2,4,361,610
104692,1,418,1,3,4,330,610
104692,1,418,1,4,4,289,611
104692,1,418,1,5,4,228,551
104692,1,418,1,6,4,181,371
104695,1,175,2,1,7,134,508
104695,1,175,2,2,7,115,524
104695,1,175,2,3,7,88,496
104694,1,119,2,1,7,115,407
104694,1,119,2,2,7,85,572
104697,1,379,2,1,9,365,9
104696,1,426,1,1,4,358,611
104696,1,426,1,2,4,310,611
104696,1,426,1,3,4,261,611
104696,1,426,1,4,4,182,491
104696,1,426,1,5,7,127,512
104699,1,318,1,1,4,252,609
104699,1,318,1,2,4,209,491
104699,1,318,1,3,4,184,371
104699,1,318,1,4,7,131,495
104698,1,365,1,1,4,291,489
104701,1,312,1,1,4,288,370
104701,1,312,1,2,4,229,491
104701,1,312,1,3,4,200,491
104701,1,312,1,4,7,154,550
104701,1,312,1,5,7,126,510
104700,1,149,2,1,7,134,547
104703,1,275,1,1,4,253,369
104703,1,275,1,2,4,231,491
104703,1,275,1,3,9,227,10
104703,1,275,1,4,4,208,371
104703,1,275,1,5,9,176,398
104703,1,275,1,6,7,135,532
104703,1,275,1,7,7,89,419
104702,1,231,1,1,4,182,372
104702,1,231,1,2,7,142,400
104705,1,254,1,1,4,222,372
104705,1,254,1,2,4,203,489
104705,1,254,1,3,7,168,552
104705,1,254,1,4,7,142,551
104704,1,377,1,1,9,353,129
104704,1,377,1,2,4,290,371
104704,1,377,1,3,4,266,491
104704,1,377,1,4,9,250,280
104704,1,377,1,5,4,221,491
104704,1,377,1,6,4,184,369
104704,1,377,1,7,7,108,532
104707,1,199,2,1,7,148,552
104707,1,199,2,2,7,135,551
104707,1,199,2,3,7,117,549
104706,1,283,1,1,4,230,491
104706,1,283,1,2,4,218,489
104706,1,283,1,3,4,186,489
104706,1,283,1,4,7,142,552
104706,1,283,1,5,9,105,586
104709,1,174,2,1,7,113,569
104709,1,174,2,2,7,100,574
104708,1,284,1,1,9,280,79
104708,1,284,1,2,4,237,371
104708,1,284,1,3,4,206,492
104708,1,284,1,4,4,191,372
104711,1,396,1,1,9,396,31
104711,1,396,1,2,4,325,492
104711,1,396,1,3,4,312,491
104710,1,172,2,1,7,152,409
104713,1,137,2,1,7,117,509
104713,1,137,2,2,7,84,504
104712,1,284,1,1,4,254,491
104712,1,284,1,2,4,200,552
104715,1,131,2,1,7,127,552
104715,1,131,2,2,7,111,547
104715,1,131,2,3,9,75,485
104714,1,367,1,1,4,248,475
104714,1,367,1,2,4,224,491
104714,1,367,1,3,4,203,370
104714,1,367,1,4,7,169,400
104714,1,367,1,5,7,127,552
104717,1,157,2,1,7,118,513
104717,1,157,2,2,9,58,570
104716,1,247,1,1,9,265,5
